137868,182.771.084.534.359,6443
8633,182.771.084.534.359,9423
169966,412.423.346.186.800,84528
27288,182.771.084.534.359,6434
79094,999.999.992.944.924,84528
474,182.771.084.534.359,6929
4931,182.771.084.534.359,6125
3012,182.771.084.534.359,4676
114625,182.771.084.534.359,7408
10126,412.423.346.186.800,9457
10126,412.423.346.186.800,140735
23086,733.226.324.163.718,5873
11006,182.771.084.534.359,5781
11006,733.226.324.163.718,5777
11006,182.771.084.534.359,3635
81788,182.771.084.534.359,90
4660,182.771.084.534.359,5500
11226,182.771.084.534.359,2335
83459,412.423.346.186.800,9802
64769,412.423.346.186.800,83746
64769,412.423.346.186.800,9513
8537,182.771.084.534.359,8655
56142,182.771.084.534.359,5649
10898,412.423.346.186.800,81608
10898,113.033.111.253.752,4140
10898,182.771.084.534.359,56996
3822,733.226.324.163.718,3824
6529,971.245.704.978.182,6804
11230,182.771.084.534.359,1234
922,182.771.084.534.359,959
2557,182.771.084.534.359,5582
5073,182.771.084.534.359,84221
5073,182.771.084.534.359,8570
159296,182.771.084.534.359,6722
128229,412.423.346.186.800,1838
1140,182.771.084.534.359,5913
7957,182.771.084.534.359,9852
23392,412.423.346.186.800,5108
27030,733.226.324.163.718,4292
27030,182.771.084.534.359,4438
2673,182.771.084.534.359,5578
10469,733.226.324.163.718,369
150094,182.771.084.534.359,9218
23627,182.771.084.534.359,3921
27095,412.423.346.186.800,79090
27095,412.423.346.186.800,51693
23034,182.771.084.534.359,7532
23017,182.771.084.534.359,355
51222,182.771.084.534.359,51684
2650,182.771.084.534.359,5579
5833,412.423.346.186.800,79831
911,182.771.084.534.359,925
5346,182.771.084.534.359,5566
1953,182.771.084.534.359,8076
23397,733.226.324.163.718,822
3355,182.771.084.534.359,857
57671,182.771.084.534.359,9645
200081,182.771.084.534.359,8517
200081,182.771.084.534.359,6804
200081,182.771.084.534.359,4793
200081,182.771.084.534.359,6810
8905,182.771.084.534.359,8906
2271,182.771.084.534.359,4191
2823,182.771.084.534.359,5578
3489,182.771.084.534.359,7018
103,182.771.084.534.359,7514
103,182.771.084.534.359,3069
57455,182.771.084.534.359,6924
57455,182.771.084.534.359,6917
4839,182.771.084.534.359,4869
4839,733.226.324.163.718,5795
23386,412.423.346.186.800,7329
2291,182.771.084.534.359,8928
338917,182.771.084.534.359,5080
53616,182.771.084.534.359,7534
23555,182.771.084.534.359,8945
26040,182.771.084.534.359,6418
64170,182.771.084.534.359,8915
5506,182.771.084.534.359,6195
6730,182.771.084.534.359,6731
7442,182.771.084.534.359,801
3658,182.771.084.534.359,4904
7166,182.771.084.534.359,7534
7166,182.771.084.534.359,7533
6325,182.771.084.534.359,6327
5081,182.771.084.534.359,7290
54932,412.423.346.186.800,9802
6569,182.771.084.534.359,9368
6569,182.771.084.534.359,9351
9138,182.771.084.534.359,960
57727,182.771.084.534.359,9975
116844,182.771.084.534.359,2335
54756,182.771.084.534.359,6885
5239,733.226.324.163.718,7402
4680,182.771.084.534.359,634
55229,113.033.111.253.752,8682
3589,9.975.967.589.632,3590
3589,412.423.346.186.800,4110
7259,471.573.093.994.204,9001
5420,182.771.084.534.359,6402
5420,971.245.704.978.182,9351
10678,182.771.084.534.359,29071
10328,412.423.346.186.800,9694
57571,182.771.084.534.359,9320
2814,182.771.084.534.359,7534
2814,733.226.324.163.718,2815
