YBL044W,845.928.714.415.022,YLR074C
YBL044W,573.290.479.777.183,YMR304W
YBL044W,59.764.790.426.787,YJL159W
YGL114W,363.330.446.239.122,YPR128C
YKL163W,126.299.948.542.569,YLR288C
YHR145C,126.299.948.542.569,YNL012W
YCR073W-A,573.290.479.777.183,YLR028C
YCR073W-A,573.290.479.777.183,YER133W
YHR074W,95.733.401.595.157,YLR216C
YHR074W,126.299.948.542.569,YIL092W
YDL133W,126.299.948.542.569,YMR052W
YGR110W,126.299.948.542.569,YHR114W
YAR015W,573.290.479.777.183,YGR095C
YAR015W,812.962.790.923.786,YPL240C
YLR344W,544.498.967.386.216,YNL124W
YDR316W-A,126.299.948.542.569,YPL253C
YDR219C,573.290.479.777.183,YDR328C
YDR219C,573.290.479.777.183,YHR122W
YJR020W,126.299.948.542.569,YNL092W
YDL026W,126.299.948.542.569,YDR318W
YMR162C,573.290.479.777.183,YOR124C
YDR177W,544.498.967.386.216,YER012W
YDR177W,573.290.479.777.183,YDR226W
YDR177W,544.498.967.386.216,YPR103W
YDR384C,363.330.446.239.122,YPR156C
YDR384C,126.299.948.542.569,YMR009W
YDR384C,363.330.446.239.122,YNR060W
YBR220C,126.299.948.542.569,YJR063W
YBR004C,126.299.948.542.569,YLR082C
YGR170W,573.290.479.777.183,YNL264C
YCR094W,126.299.948.542.569,YGL090W
YCR094W,126.299.948.542.569,YJR091C
YLR076C,344.530.804.961.457,YOR362C
YDL158C,126.299.948.542.569,YPR086W
YER181C,126.299.948.542.569,YGL070C
YGL069C,126.299.948.542.569,YJR091C
YGL069C,573.290.479.777.183,YMR189W
YLR069C,544.498.967.386.216,YPL240C
YLR099C,573.290.479.777.183,YLR287C
YKR007W,187.733.716.333.478,YML121W
YMR184W,126.299.948.542.569,YPR086W
YGL170C,126.299.948.542.569,YMR153W
YGL170C,126.299.948.542.569,YGR218W
YGL170C,544.498.967.386.216,YOL091W
YGL170C,126.299.948.542.569,YMR047C
YGL170C,126.299.948.542.569,YGR119C
YGR236C,126.299.948.542.569,YOR358W
YGR236C,126.299.948.542.569,YOR299W
YGR032W,544.498.967.386.216,YPR165W
YGR101W,812.962.790.923.786,YKR066C
YGR101W,544.498.967.386.216,YOR211C
YGR101W,126.299.948.542.569,YHL021C
YGR101W,126.299.948.542.569,YJL213W
YJL055W,126.299.948.542.569,YOR264W
YHL043W,126.299.948.542.569,YMR232W
YHL043W,126.299.948.542.569,YMR047C
Q0092,573.290.479.777.183,YOR026W
YGR244C,95.733.401.595.157,YOR142W
YGR244C,126.299.948.542.569,YPL118W
YJL087C,126.299.948.542.569,YLR447C
YJL087C,573.290.479.777.183,YKL108W
YHL032C,573.290.479.777.183,YKR026C
YDL107W,544.498.967.386.216,YGR062C
YDL214C,126.299.948.542.569,YML011C
YDL214C,126.299.948.542.569,YEL013W
YDL214C,126.299.948.542.569,YGL115W
YJL162C,126.299.948.542.569,YPL059W
YGR043C,845.928.714.415.022,YLR354C
YHR211W,126.299.948.542.569,YJR091C
YHR211W,126.299.948.542.569,YOR360C
